person,job,label,theme,text,date,lemmatized_text
אלי אלאלוף,"יו""ר ועדת העבודה, הרווחה והבריאות כולנו",4,על העלייה במספר ההרוגים בתאונות בניין,הבעיה היא שכמות אתרי הבניה הלכה וגדלה [...] אז אל תשתמשו בסטטיסטיקה כבסיס לכל הידע בנושא הזה,2018-09-12,ה בעיה הוא ש כמות אתר ה בנייה הילך ו גידל ... אז אל השתמש ב סטטיסטיקה כ בסיס ל כול ה ידע ב ה נושא ה זה
תמר זנדברג,חברת כנסת המחנה הדמוקרטי,3,על עמדות סיעות הכנסת ביחס לפתרון שתי המדינות,"המפלגות שמתנגדות לפתרון שתי המדינות הן בוודאות מיעוט. הכנסת מתחלקת בין מפלגות שתומכות, לבין מפלגות שהן אדישות לרעיון, והולכות עם איזו ממשלה שלא תבוא",2018-09-12,"ה מפלגה ש התנגד ל פתרון שתיים ה מדינה הן ב ודאות מיעוט . הכנסה התחלק בין מפלגה שתומכות , לבין מפלגה ש הוא אדיש ל ה רעיון , ו הלך עם איזה ממשלה ש לא בא"
"ישראל כ""ץ",שר האוצר הליכוד,1,בעקבות ההודעה על סגירת הנציגות הפלסטינית בוושינגטון,"״פנייה לבית הדין הבינלאומי בהאג [היא] בניגוד לכל הסכם שהם חתומים עליו, בניגוד לחוק האמריקאי״",2018-09-12,"פנייה ל בית ה דין ה בינלאומי ב האג הוא בניגוד ל כול ה סכם ש הוא חתם על הוא , ב ניגוד ל ה חוק ה אמריקני"
מאיר כהן,חבר כנסת יש עתיד - כחול לבן,5,על גובה השכר בישראל,עדיין רוב האנשים במדינת ישראל משתכרים שכר מינימום ופחות,2018-09-07,עדיין רוב ה איש ב מדינה ישראל השתכר שכר מינימום ו פחות
אורי אריאל,שר החקלאות הבית היהודי,5,"על האחריות לאכיפת חוק צער בעלי חיים, בעקבות הביקורת על מנהג הכפרות",האכיפה בתוך הערים היא באחריות הרשויות. בתל-אביב זה עיריית תל-אביב וכן הלאה. זה לא באחריות משרד החקלאות,2018-09-04,ה אכיפה בתוך ה עיר הוא ב אחריות ה רשות . ב תל אביב זה עירייה תל אביב ו כן הלאה . זה לא ב אחריות משרד ה חקלאות
שלי יחימוביץ',חברת כנסת העבודה,4,על מס ירושה,ישראל היא אחת המדינות הבודדות בעולם שאין בה מס ירושה,2018-09-04,ישראל הוא אחת ה מדינה ה בודד ב ה עולם ש אין ב היא מס ירושה
יאיר לפיד,"יו""ר מפלגת יש עתיד יש עתיד-תל""ם",4,על השינוי במחירי המזון והדיור בתקופת כהונתה של הממשלה הנוכחית,"מאז הקמתה של הממשלה הזאת, מחירי הדירות עלו ב-13%, מחירי המזון עלו ב-8%",2018-09-03,"מ אז הקמה של ה ממשלה ה זאת , מחיר ה דירה עלה ב 13 , מחיר ה מזון עלה ב 8"
זאב אלקין,מועמד לכנסת תקווה חדשה,3,"על החלטות אונסק""ו בעניין חברון וירושלים","לפני כשנה, אונסקו הכריזה על חברון כאתר מורשת פלסטיני, תוך התעלמות מוחלטת מההיסטוריה היהודית בחברון, וגם שורה של החלטות אחרות כמו ההחלטה שמוחקת את האופי היהודי של ירושלים [...] כל השיח על הר הבית כאתר מורשת מוסלמי בלבד",2018-09-03,"לפני כ שנה , אונסק""ו הכריז על חברון כ אתר מורשת פלסטיני , תוך התעלמות מוחלט מ ה היסטוריה ה יהודי ב חברון , ו גם שורה של החלטה אחר כמו ה החלטה ש מחק את ה אופי ה יהודי של ירושלים ... כול ה שיח על הר ה בית כ אתר מורש מוסלמי בלבד"
"שי באב""ד","מנכ""ל משרד האוצר",5,על השביתה במעונות היום,״זה רק 20% מהארגונים היום ששובתים. רוב הארגונים שקיימים באותם תנאים [...] לא עשו את אותה סיטואציה.,2018-09-02,זה רק 20 מ ה ארגון ה יום ש שבת . רוב ה ארגון ש קיים ב אותו תנאי ... לא עשה את את היא סיטואציה .
אבי דיכטר,חבר כנסת הליכוד,1,"על אונר""א","יש ארגון של האום שמטפל ב-60 מיליון פליטים בעולם, UNHCR. הוא מעסיק 10,000 פקידים. אונרא, שמטפל בכחמישה מיליון פליטים פלסטינים, מעסיק 30,000 פקידים",2018-09-02,"יש ארגון של ה אום ש טיפל ב 60 מיליון פליט ב ה עולם , . הוא העסיק 10,000 פקיד . אונרא , ש טיפל בכחמישה מיליון פליט פלסטיני , העסיק 30,000 פקיד"
רועי פולקמן,"יו""ר סיעת כולנו כולנו",2,על השינוי במחיר דג האמנון הקפוא במהלך כהונתו של כחלון,"האמנון הקפוא עלה כמעט 40 שקל לקילו, היום אנחנו ב-33-32",2018-08-27,"ה אמנון ה קפוא עלה כמעט 40 שקל ל ה קילוגרם , היום הוא ב 33 32"
רועי פולקמן,"יו""ר סיעת כולנו כולנו",0,על שיעור האבטלה במשק,"אנחנו באבטלה שלא הייתה נמוכה כמוה משנות ה-70. בסוף הקדנציה של שר האוצר הקודם האבטלה עמדה על כמעט שישה אחוזים, 5.9",2018-08-27,"הוא ב ה אבטלה ש לא היה נמוך כמו היא מ שנה ה 70 . ב סוף ה קדנציה של שר ה אוצר ה קודם ה אבטלה עימד על כמעט שישה אחוז , 5.9"
אלי בן-דהן,סגן שר הביטחון הבית היהודי,5,"על הגדרת האו""ם לפליטים",בזמן שהוקמה אונרא הוקמה גם רשות לשיקום פליטים אחרים בעולם. לכל היותר אדם נחשב פליט שבע שנים,2018-08-26,ב ה זמן ש הוקם אונרא הוקם גם רשות ל שיקום פליט אחר ב ה עולם . ל כול ה יותר אדם נחשב פליט שבע שנה
אמיר אוחנה,השר לבטחון פנים הליכוד,4,על השימוש בנשק חם ברישיון במקרי רצח במשפחה,"כשאנחנו בודקים את הנתונים בשני העשורים האחרונים אנחנו מוצאים ש-2% בערך בוצעו על ידי כלי נשק פרטיים [...] 98% מהמקרים האחרים של רצח בתוך המשפחה אירעו בסכין, גרזן, פטיש, חניקה",2018-08-22,"כש הוא בדק את ה נתון ב שני ה עשור ה אחרון הוא מצא ש 2 ב ה ערך בוצע על יד כלי נשק פרטי ... 98 מ ה מקר ה אחר של רצח בתוך ה משפחה אירע ב סכין , גרזן , פטיש , חניקה"
יצחק כהן,סגן שר האוצר ש”ס,5,על הצורך לקיים עבודות לבניית גשר יהודית בתל אביב בשבת,"כל הסיפור הזה הוא גימיק, הוא פרובוקציה. הוא התחיל כצורך פוליטי לקראת הבחירות המקומיות המוניציפליות. אף אחד לא באמת חושב שתוכנית כזאת גדולה יצאה פתאום בין לילה",2018-08-22,"כול ה סיפור ה זה הוא גימיק , הוא פרובוקציה . הוא התחיל כ צורך פוליטי לקראת ה בחירה ה מקומי ה מוניציפליות . אף אחד לא באמת חשב ש תוכנית כ ה זאת גדול ייצא פתאום בין לילה"
אלי כהן,שר הכלכלה הליכוד,4,על ירידת מדד מחירי המזון,במהלך השנתיים האחרונות גם המחירים ירדו ב-5.5% אחרי עשור של עלייה,2018-08-20,ב מהלך ה שנה ה אחרון גם ה מחיר ירד ב 5.5 אחרי עשור של עלייה
אורן חזן,חבר כנסת הליכוד,5,על רצועת עזה,"בעזה לא חיים מקומיים, ילידים, בעזה יש מהגרים – מישראל, ממצרים, מסוריה, מלבנון – החמאסניקים הם לא אנשי האדמה, הם לא נולדו שם. מרביתם, מעל שני שליש מהם, הגיעו מכל מיני מקומות, לכן אין להם חיבור",2018-08-19,"ב עז לא חי מקומי , יליד , ב עז יש מהגר מ ישראל , מ מצר , מסור , מ לבנון ה חמאסניקים הוא לא איש ה אדמה , הוא לא נולד שם . מ רבייה , מעל שני שליש מ הוא , הגיע מ כול מין מקום , לכן אין ל הם חיבור"
אורן חזן,חבר כנסת הליכוד,3,על ההכנסות הצפויות לתאגיד השידור מאירוח האירוויזיון,"בסוף כשנשדר את האירוויזיון - מוכרים זכויות שידור, יש הכנסות מחסויות, יש הכנסות מפרסומות, יש הכנסות מכרטיסים, יש הכנסות ממרצ'נדייז מסביב",2018-08-14,"ב סוף כש שידר את ה אירוויזיון מכר זכות שידור , יש הכנסה מ חסות , יש הכנסה מ פרסומת , יש הכנסה מ כרטיס , יש הכנסה מ מרצ נדייז מ סביב"
מירי רגב,שרת התחבורה הליכוד,5,על גוש עציון,"השטח הזה רווי באתרים יהודיים. כאן, כמה שתחפרו לא תמצאו מטבע פלסטיני אחד. מה לעשות? רק עתיקות והיסטוריה של העם היהודי מלפני 3,000 ו-4,000 שנה",2018-08-14,"ה שטח ה זה רווי ב אתר יהודי . כאן , כמה שתחפרו לא מצא מ טבע פלסטיני אחד . מה עשה ? רק עתיקה ו היסטוריה של ה עם ה יהודי מ לפני 3,000 ו 4,000 שנה"
מיקי זוהר,"יו""ר ועדת הכנסת הליכוד",4,על כהונת ראשי תאגיד השידור,ראשי התאגיד - ואנחנו נצטרך לעשות שינוי חקיקתי בעניין הזה - תפקידם מובטח לשנים ארוכות בלי שלממשלה יש שום השפעה על העניין הזה,2018-08-14,ראש ה תאגיד ו הוא הצטרך עשה שינוי חקיקה ב ה עניין ה זה תפקיד הובטח ל שנה ארוך בלי ש ל ה ממשלה יש שום ה שפעה על ה עניין ה זה
מיקי זוהר,"יו""ר ועדת הכנסת הליכוד",5,על הערכת תאגיד השידור לגבי העלות הכוללת של האירוויזיון,מי קבע שהאירוויזיון יעלה 150 מיליון שקל? לא עשו אירוויזיונים ב-40-30 מיליון שקל?,2018-08-14,מי קבע ש ה אירוויזיון ייעל 150 מיליון שקל ? לא עשה אירוויזיונים ב 40 30 מיליון שקל ?
בצלאל סמוטריץ׳,"סגן יו""ר הכנסת ימינה",5,על השליטה הישראלית בעזה,"קודם כל לא היה ממשל צבאי [ברצועת עזה], אני רוצה לחזור למה שהיה בראשית שנות התשעים, לפני האיוולת הגדולה של הסכמי אוסלו",2018-08-14,"קודם כול לא היה ממשל צבאי ב רצועה עז , הוא רצה חזר ל מה ש היה ב ראשית שנה ה תשעים , לפני ה איוולת ה גדול של הסכם אוסלו"
איוב קרא,שר התקשורת הליכוד,5,על המחאה נגד חוק הלאום,"אני חוקקתי את חוק הדגל וההמנון, ואנשים לא יודעים",2018-08-13,"הוא חוקק את חוק ה דגל ו ה המנון , ו איש לא ידע"
איוב קרא,שר התקשורת הליכוד,5,על תאגיד השידור הישראלי,"יש להם קרוב למיליארד שקל, מבחינה פרופורציונית זה התאגיד הכי מתוקצב במערב",2018-08-13,"יש ל ה הוא קרוב ל מיליארד שקל , מ בחינה פרופורציונית זה ה תאגיד הכי תוקצב ב ה מערב"
אלי כהן,שר הכלכלה הליכוד,5,על העלאת דירוג האשראי של ישראל,יש רק 11 מדינות בעולם שנמצאות מעל מדינת ישראל,2018-08-09,יש רק 11 מדינה ב ה עולם ש נמצא מעל מדינה ישראל
מיכאל מלכיאלי,"חבר כנסת ש""ס",4,על הסמכות לאכוף חוקים עירוניים שאוסרים פתיחת עסקים בשבת,"שר הפנים אין בסמכותו לאכוף את החוק, זה רק הרשות המקומית. ירצה ביבס [ראש עיריית מודיעין] יאכוף, לא ירצה לא יאכוף",2018-08-06,"שר ה פני אין ב סמכות אכף את ה חוק , זה רק ה רשות ה מקומי . ריצה ב יבס ראש עירייה מודיעין אכף , לא ריצה לא אכף"
עבד אל-חכים חאג' יחיא,חבר כנסת הרשימה המשותפת,1,על היעדר נגישות לדיור לאוכלוסייה הערבית,"למרות שאנחנו יותר מ-50% מתחת לקו העוני, [יש] אפס דירות ציבוריות ביישובים הערביים",2018-08-05,"למרות ש הוא יותר מ 50 מתחת ל קו ה עוני , יש אפס דירה ציבורי ב ה יישוב ה ערבי"
מוסי רז,חבר כנסת מרצ,5,על קליטה של סייענים פלסטינים לתחומי ישראל,"״ממשלת ישראל הזו, של הימין, קיבלה תוך עשור כ-120 אלף משת״פים ובני משפחותיהם״",2018-08-05,"ממשלה ישראל ה זו , של ה ימין , קיבל תוך עשור כ 120 אלף מ שת פים ו בן משפחה"
אורן חזן,חבר כנסת הליכוד,5,על התפלגות ההצבעה בתל אביב-יפו בבחירות לכנסת,"תל אביב היא לא עיר של שמאל בכלל, בבחירות האחרונות 50% מתושבי העיר הצביעו למפלגות ימין",2018-08-03,"תל אביב הוא לא עיר של שמאל בכלל , ב בחירה ה אחרון 50 מ תושב ה עיר הצביע ל מפלגה ימין"
ענת ברקו,חברת כנסת הליכוד,4,על מעמד השפה הערבית בישראל,"השפה הערבית לא היתה מעולם שפה רשמית במדינת ישראל [...] גם היום כשמישהו מתדיין בבית משפט הוא לא יכול להגיש את כל החומרים שלו בערבית, גם לא בבגץ",2018-08-02,"ה שפה ה ערבי לא היה מעולם שפה רשמי ב מדינה ישראל ... גם ה יום כש מישהו התדיין ב בית משפט הוא לא יכול הגיש את כול ה חומר של הוא ב ערבית , גם לא ב ה בגץ"
אופיר אקוניס,שר המדע והטכנולוגיה הליכוד,5,על סירובו לאשר את מינויה של מדענית לוועדה מקצועית,"מינויה של הפרופ' יעל אמיתי לא אושר בשל עמדותיה, אלא בשל תמיכתה בסרבנות לשירות בצהל, דבר שמהווה עבירה על החוק!",2018-08-01,"מינוי של ה פרופ ייעל אמיתי לא אושר בשל עמדה , אלא בשל תמיכה ב סרבנות ל שירות בצהל , דבר ש היווה עביר על ה חוק !"
דב חנין,חבר כנסת הרשימה המשותפת,4,"על הסעיף שבוטל בחוק הלאום, שנועד לאפשר הקמת יישובים נפרדים","הסעיף הזה הוא העתקה של חוק האזורים הנפרדים שחוקק בדרום אפריקה ב-1950, שאמר שכל קהילה יכולה לחיות בנפרד. הוא לא דיבר על העדפה לאף אחד [...] החוק עורר כל כך הרבה ביקורת שביהמש של האפרטהייד ביטל אותו ב-1957",2018-07-30,"ה סעיף ה זה הוא העתקה של חוק ה אזור ה נפרד ש חוקק ב דרום אפריקה ב 1950 , ש אמר ש כול קהילה יכול חי בנפרד . הוא לא דיבר על העדפה ל ה אף אחד ... ה חוק עורר כול כך הרבה ביקורת ש ב ה יהמש של ה אפרטהייד ביטל את הוא ב 1957"
שולי מועלם-רפאלי,"יו""ר סיעה הבית היהודי",4,על חוק הלאום,"מראיין: מדוע שלא תופיע שם גם המילה 'שוויון'?
מועלם-רפאלי: כיוון שהמילה שוויון מופיעה כבר בשני חוקי יסוד שחוקקו פה ב-1992",2018-07-29,"מראיין: מדוע שלא תופיע שם גם המילה 'שוויון'?
מועלם-רפאלי: כיוון שהמילה שוויון מופיעה כבר בשני חוקי יסוד שחוקקו פה ב-1992"
מירי רגב,שרת התרבות והספורט הליכוד,5,על סרט הפתיחה של פסטיבל הקולנוע בירושלים,"'הבלתי רשמיים' - הסרט על הקמת מפלגת שס יהיה הסרט הישראלי הראשון, שיפתח את פסטיבל הקולנוע בירושלים",2018-07-26,"ה בלתי רשמי ה סרט על הקמה מפלגה שס היה ה סרט ה ישראלי ה ראשון , ש נפתח את פסטיבל ה קולנוע ב ה ירושלים"
זאב אלקין,"השר להגנת הסביבה, לירושלים ולמורשת תקווה חדשה",4,"על חוק הפונדקאות, שמונע מהומוסקסואלים גישה לפונדקאות","שנתיים שיאיר לפיד היה שר בכיר ולא ישבו בממשלה מפלגות חרדיות, למה אז לא חוקקו את זה?",2018-07-25,"שנה שיאיר לפיד היה שר בכיר ו לא נשבה ב ה ממשלה מפלגה חרדי , למה אז לא חוקק את זה ?"
בנימין נתניהו,ראש הממשלה הליכוד,5,על היחס לנוצרים במזרח התיכון,"ישראל היא המדינה היחידה, בטווח של אלפי מיילים, שבה הנוצרים לא רק שורדים, אלא משגשגים",2018-07-23,"ישראל הוא ה מדינה ה יחיד , ב טווח של אלף מייל , ש ב היא ה נוצרי לא רק שרד , אלא שגשג"
גילה גמליאל,השרה לשוויון חברתי הליכוד,4,על לימודי עברית בחברה הערבית,"אתה תלך תטייל בג'סר א-זרקא, תראה ילדים שלא יודעים עברית, הם לא צריכים ללמוד עברית, בגלל שיש שתי שפות רשמיות במדינת ישראל",2018-07-20,"הוא הלך טייל בג סר א זרקא , ראה ילד ש לא ידע עברי , הוא לא צריך למד עברי , בגלל ש יש שתיים שפה רשמי ב מדינה ישראל"
אורן חזן,חבר כנסת הליכוד,4,על עיכובו לחקירה של רב קונסרבטיבי שחיתן פסולי חיתון,כרגע יש חוק שקובע על פי פקודת הנישואין שכל מי שדואג לחתן אחר ללא רישום לפי פקודת הנישואין דינו שנתיים מאסר,2018-07-20,כרגע יש חוק ש קובע על פה פקודה ה נישואין ש כול מי ש דאג ל חתן אחר ללא רישום לפי פקודה ה נישואין דין שנתי מ אסר
איילת שקד,שרת המשפטים ימינה,4,על הירידה בשיעור העוברים בבחינת לשכת עורכי הדין,"אם מסתכלים על אחוזי המעבר של האוניברסיטאות לפני עשר שנים, הם כמו אחוזי המעבר היום, הבעיה היא שיש היום הצפה גדולה מאוד במכללות",2018-07-19,"אם הסתכל על אחוז ה מעבר של ה אוניברסיטה לפני עשר שנה , הוא כמו אחוז ה מעבר היום , ה בעיה הוא ש יש היום הצפה גדול מאוד ב מכללה"
נפתלי בנט,"שר החינוך ויו""ר המל""ג ימינה",2,"בעקבות אישור המל""ג להקמת פקולטה חדשה לרפואה באוניברסיטת אריאל","הקמת הפקולטה לרפואה מהווה מנוע צמיחה אדיר לאקדמיה ולמערכת הבריאות, שנמצאת במחסור חמור ברופאים",2018-07-18,"הקמה ה פקולטה ל ה רפואה היווה מנוע צמיחה אדיר ל אקדמיה ו ל מערכה ה בריאות , ש נמצא ב מחסור חמור ב ה רופא"
אמיר אוחנה,חבר כנסת הליכוד,5,על פונדקאות לזוגות בני אותו מין,"יש רק שתי מדינות בעולם שמאפשרות פונדקאות לזוגות מאותו מין - ארהב וקנדה [...] אבל הזעקה הזאת ש'איראן זה כאן' - בואו נגיד את האמת, שוודיה זה כאן, דנמרק זה כאן, צרפת ובלגיה זה כאן",2018-07-18,"יש רק שתיים מדינה ב ה עולם ש אפשר פונדקאות ל ה זוג מ את הוא מ ין ארה""ב ו קנדה ... אבל ה זעקה ה זאת ש איראן זה כאן בוא הגיד את ה אמת , שוודיה זה כאן , דנמרק זה כאן , צרפת ו בלגיה זה כאן"
תמר זנדברג,"יו""ר מרצ המחנה הדמוקרטי",3,בעקבות ביקור ראש ממשלת הונגריה בישראל,"״קהילות יהודיות בהונגריה, פולין ואוסטריה אומרות שהדברים האלה גורמים למעשי אנטישמיות נגדנו [...] משרד החוץ ממליץ לנתק קשרים עם המפלגות האלה״",2018-07-17,"קהילה יהודי ב ה הונגרי , פולין ו אוסטריה אמר ש ה דבר ה אלה גרם ל מעשה אנטישמיות נגד אנחנו ... משרד ה חוץ המליץ ל נתק קשר עם ה מפלגה ה אלה"
משה כחלון,שר האוצר כולנו,5,על מחירי הדירות,כל שנה ב-15 השנים האחרונות מחירי הדירות עלו ב-8% עד 10%,2018-07-16,כול שנה ב 15 ה שנה ה אחרון מחיר ה דירה עלה ב 8 עד 10
אלי כהן,שר הכלכלה הליכוד,5,על חוק הלאום,"גם ציפי לבני בכנסת ה-18 חתמה על חוק הלאום, עם הסעיף הזה",2018-07-11,"גם ציפי ליבן ב ה כנסת ה 18 חתם על חוק ה לאום , עם ה סעיף ה זה"
דוד אמסלם,"יו""ר הקואליציה הליכוד",5,על הסעיף בהצעת חוק הלאום המאפשר הקמת ישובים ליהודים בלבד,"לפני כשנה וחצי [...] היו משהו כמו 60 חלקות שיצאו בתרשיחא, כידוע יש עיר שקוראים לה מעלות תרשיחא. וכתבו שם במכרז - רק לבני המקום. זאת אומרת, אם אתה יהודי, אתה לא יכול לקנות שם",2018-07-11,"לפני כ שנה ו חץ ... היה משהו כמו 60 חלקה ש יצא ב ה תרשיחא , כ ה ידוע יש עיר ש קרא ל היא מעלה תרשיחא . ו כתב שם ב ה מכרז רק ל בן ה מקום . זאת אמר , אם הוא יהודי , הוא לא יכול קנה שם"
יואב גלנט,שר הבינוי והשיכון הליכוד,2,על הדיור הציבורי בישראל,"היינו פעם ב-23% מהדירות דיור ציבורי, היום אנחנו ב-2.5% [...] הדבר הזה לא תואם שום מדינה, כולל מדינות שאינן מדינות רווחה, שבהן מחזיקים 5-7% ממלאי הדיור כמלאי דיור ציבורי",2018-07-10,"היינו פעם ב 23 ההדיר דיור ציבורי , היום הוא ב 2.5 ... ה דבר ה זה לא תואם שום מדינה , כולל מדינה ש אינו מדינה רווחה , ש ב הן החזיק 5 7 מ מלאי ה דיור כ מלאי דיור ציבורי"
אמיר אוחנה,חבר כנסת הליכוד,0,על השימוש בנשק פרטי במקרי רצח במשפחה,"מאז 2000 ועד 2017, שיעור כלי הנשק הפרטיים ששימשו במעשי רצח במשפחה, שהם מעשים נוראיים שיש להלחם בהם כמובן, עומד על כ-2%",2018-07-08,"מ אז 2000 ו עד 2017 , שיעור כלי ה נשק ה פרטי ש שימש ב מעשה רצח ב ה משפחה , ש הוא מעשה נוראי ש יש נלחם ב הם כמובן , עמד על כ 2"
משה כחלון,שר האוצר כולנו,4,על הירידה בשיעור העוני ואי-השוויון בישראל,"״אחרי 15 שנים אי-השוויון מצטמצם (לפי) נתונים בינלאומיים, לא שלנו, העוני מצטמצם״",2018-07-07,"אחרי 15 שנה אי ה שוויון הצטמצם לפי נתון בינלאומי , לא של אנחנו , ה עוני הצטמצם"
דוד ביטן,חבר כנסת הליכוד,5,על זמן הנסיעה מאופקים לתל אביב,אתה יכול היום לגור באופקים ולעבוד בתל אביב כי לוקח לך בדיוק 40 דקות להגיע לתל אביב,2018-07-07,הוא יכול היום גר ב ה אופק ו עבד ב תל אביב כי לקח ל אתה ב דיוק 40 דקה הגיע ל תל אביב
יאיר לפיד,"יו""ר מפלגת יש עתיד יש עתיד-תל""ם",5,על חוק הגיוס החדש,"אם שלוש שנים לא יעמדו ביעדים, הסנקציות הפליליות מופעלות באופן אוטומטי, ואנשים ילכו לבית סוהר",2018-07-02,"אם שלוש שנה לא עימד ב ה יעד , ה סנקציה ה פלילי הופעל ב אופן אוטומטי , ו איש הלך ל בית סוהר"
יובל שטייניץ,שר האנרגיה הליכוד,5,"על כנס ""ילדים תחת כיבוש"" שנערך בכנסת ","הארגון המשמעותי שמאחורי הכנס הוא 'הארגון הבינלאומי לזכויות הילדים - פלסטין', שחתום על אמנת ה-BDS",2018-07-02,"ה ארגון ה משמעותי ש מאחורי ה כנס הוא ה ארגון ה בינלאומי ל זכות ה ילד פלשתין , ש חתם על אמנה ה"
אמיר אוחנה,חבר כנסת הליכוד,1,על גיוס חרדים בשנים האחרונות,"במהלך השנים האחרונות, תחת כהונת ראש הממשלה נתניהו, יותר ויותר חרדים מתגייסים לצהל",2018-07-02,"ב מהלך ה שנה ה אחרון , תחת כהונה ראש ה ממשלה נתניהו , ויתר ו יותר חרדי התגייס ל ה צהל"
בצלאל סמוטריץ׳,"סגן יו""ר הכנסת ימינה",5,"על מתווה הכותל ועל הרפורמים בארה""ב ובישראל","הרוב הגדול של יהודי ארהב כבר לא מזדהים כשייכים לשום זרם [...] רחבת התפילה המעורבת בכותל ריקה, הם לא באים להתפלל בה. אין היום בישראל 3,000 רפורמים, זה קומץ של פרובוקטורים",2018-07-01,"ה רוב ה גדול של יהודי ארה""ב כבר לא הזדהה כ שייך ל שום זרם ... רחבה ה תפילה ה מעורב ב כותל ריק , הוא לא בא התפלל ב היא . אין ה יום ב ישראל 3,000 רפורמי , זה קמץ של פרובוקטורים"
יובל שטייניץ,שר האנרגיה הליכוד,5,על המשבר במשק המים בישראל,בפעם הראשונה בהיסטוריה הכנרת מתקרבת לקו השחור,2018-06-29,ב ה פעם ה ראשון ב ה היסטוריה ה כנרת התקרב ל ה קו ה שחור
מיקי זוהר,חבר כנסת הליכוד,5,על ההחלטה שלא לפצל את תאגיד השידור הציבורי,"לא רצינו לחסל את התאגיד ולסגור אותו, לא הייתה שום מטרה כזאת ומעולם לא הצבנו מטרה כזאת",2018-06-26,"לא רצה חיסל את ה תאגיד ו סגר את הוא , לא היה שום מטרה כ ה זאת ו מעולם לא הציב מטרה כ ה זאת"
מיכאל מלכיאלי,"חבר כנסת ש""ס",5,על הזרם הרפורמי בישראל,"הרפורמים אין להם אפילו מנדט אחד בארץ, אין להם קהילה אחת בארץ",2018-06-20,"ה רפורמי אין ל הם אפילו מנדט אחד ב ה ארץ , אין ל ה הוא קהילה אחת ב ה ארץ"
איציק שמולי,חבר כנסת העבודה,2,"בעקבות הצעתו לבטל את המע""מ על תרופות מצילות חיים","היום המדינות הכי מתקדמות ומובילות, גם באירופה וגם בארהב, ויתרו על מעמ בהקשר של תרופות",2018-06-19,"היום ה מדינה הכי מתקדם ו הוביל , גם ב אירופה ו גם ב ארה""ב , ו ייתר על מעמ ב הקשר של תרופה"
יואב גלנט,שר הבינוי והשיכון הליכוד,5,על רמת החיים ברמאללה,"כשמישהו בא אליך עם יד מושטת ובסך הכל מתנהג כמו שצריך אז הוא מקבל חיים כמו שקורה ברמאללה, עם רמת חיים יותר גבוהה מכל העולם הערבי",2018-06-18,"כש מישהו בא אל אתה עם יד הושט ו ב סך ה כול התנהג כמו ש צריך אז הוא קיבל חיים כמו ש קרה ברמאללה , עם רמה חיים יותר גבוה מ כול ה עולם ה ערבי"
משה כחלון,שר האוצר כולנו,5,על התנגדותו להעלאת המס על טבק לגלגול,אין שום הוכחה שכשאתה מעלה מס הם מפסיקים לעשן,2018-06-17,אין שום הוכחה ש כש הוא העלה מס הוא הפסיק עישן
מייקל אורן,סגן שר במשרד ראש הממשלה כולנו,4,על עמדתו של הנשיא טראמפ ביחס לירושלים,"טראמפ הכיר בירושלים המאוחדת כבירתנו [...] השגרירות ממוקמת למעשה במזרח העיר. השכונה הזאת, תלפיות, זה במזרח העיר",2018-06-13,"טראמפ הכיר ב ה ירושלים ה מאוחד כ בירה ... ה שגרירות מוקם למעשה ב מזרח ה עיר . ה שכונה ה זאת , תלפיות , זה ב ה מזרח העיר"
דוד אמסלם,"יו""ר הקואליציה הליכוד",5,על דברים שאמר על העוזרת של ארנון מילצ'ן,אני קראתי את הראיון שעשו על הדס קליין ושם בעצם פורטה חלק מהחקירה שלה. אני לא אמרתי שהיא הלכה לעיתון והיא הדליפה לעיתון את החקירה,2018-06-13,הוא קרא את ה ראיון ש עשה על הדס קליין ו שם בעצם פורט חלק מ ה חקירה של היא . הוא לא אמר ש הוא הילך ל ה עיתון ו הוא הדליף ל ה עיתון את ה חקירה
מירי רגב,שרת התרבות והספורט הליכוד,5,על אירוע 70 שנות עצמאות לישראל ב'טיימס סקוור' בניו-יורק,"הטיימס סקוור מעולם לא נסגר, והוא נסגר בפעם הראשונה בחייו למדינת ישראל",2018-06-07,"ה טיימס סקוור מעולם לא נסגר , ו הוא נסגר ב ה פעם ה ראשון ב חיים ל מדינה ישראל"
מירי רגב,שרת התרבות הליכוד,5,על העברת כסף ממשרד הספורט לידי יזם המשחק מול ארגנטינה,אכן אמרנו שאנחנו נעביר עד 2.7 מיליון שקלים לעיריית ירושלים לטובת התאמות של העירייה למשחק,2018-06-07,אכן אמר ש הוא העביר עד 2.7 מיליון שקל ל עירייה ירושלים ל טובה התאמה של ה עירייה ל ה משחק
סתיו שפיר,חברת כנסת המחנה הדמוקרטי - התנועה הירוקה,1,"על זכויות להט""ב בישראל",ישראל הופכת למעשה להיות אחת המדינות האחרונות במערב שעוד לא מאשרות נישואים גאים,2018-06-06,ישראל הפך למעשה ל היות אחת ה מדינה ה אחרון ב ה מערב ש עוד לא אישר נישואין גאה
אריה דרעי,"שר הפנים ש""ס",4,על ההמלצות לחקיקת חוק הגיור,המוסמך היחידי על פי תקנות הממשלה להגיש הצעת חוק בנושא הגיור הוא שר הפנים,2018-06-03,ה מוסמך ה יחידי על פה תקנה ה ממשלה הגיש הצעה חוק ב נושא ה גיור הוא שר ה פנים
